"Keyword Version: static","Revision: 2022-01-10 17:52:40","Timestamp: 2022-01-19 17:23:35","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.uat.earthdata.nasa.gov/kms/concepts/concept_scheme/platforms/?format=xml","Case native"
"Space-based Platforms","Earth Observation Satellites","FengYun-2","","","e3344a00-36a4-49c2-b05e-5b540044b510"
"Space-based Platforms","Earth Observation Satellites","FengYun-3","FY-3A","FengYun-3A","2f734fc9-2cfa-4a60-b71e-1357a168fbd1"
"Space-based Platforms","Earth Observation Satellites","FengYun-3","FY-3B","FengYun-3B","f0030752-05f7-404b-9dd1-2b159d6be13e"
"Space-based Platforms","Earth Observation Satellites","FengYun-3","FY-3C","FengYun-3C","c65041d4-7a29-48da-86e6-02ac03d366ff"
"Space-based Platforms","Earth Observation Satellites","FengYun-3","","","84ec9a79-3594-4915-8475-66fdb6e1481c"
"Space-based Platforms","Earth Observation Satellites","FireBIRD","BIROS","Bi-spectral InfraRed Optical System","8e53aafe-f7a5-4629-893e-0a3ae1a6fe1d"
"Space-based Platforms","Earth Observation Satellites","FireBIRD","TET-1","Technology Experiment Carrier-1","67e5bbab-0c9b-40e5-acf7-054671f35d2b"
"Space-based Platforms","Earth Observation Satellites","FireBIRD","","","9b165321-e03c-44dc-bb9c-d10c32c93ab6"
"Space-based Platforms","Earth Observation Satellites","GHGSat","GHGSat-C1","Greenhouse Gas Satellite - C1","38a680f5-6c96-490d-9683-8c5588090e34"
"Space-based Platforms","Earth Observation Satellites","GHGSat","GHGSat-C2","Greenhouse Gas Satellite - C2","6564cc55-1032-4e52-b1d4-b177224d3805"
"Space-based Platforms","Earth Observation Satellites","GHGSat","GHGSat-D","Greenhouse Gas Satellite - Demonstrator","1aabc727-a8d8-4dff-a248-8e485d147b00"
"Space-based Platforms","Earth Observation Satellites","GHGSat","","","82823ffa-e4d5-4877-bf0a-b9eb5b8c1108"
"Space-based Platforms","Earth Observation Satellites","Geodetic Earth Orbiting Satellite (GEOS)","GEOS-1","Geodetic Earth Orbiting Satellite-1","a44b20a7-be0a-40d5-baba-8a77022db3a1"
"Space-based Platforms","Earth Observation Satellites","Geodetic Earth Orbiting Satellite (GEOS)","GEOS-2","Geodetic Earth Orbiting Satellite-2","d3b6b9b2-055e-4a11-b0e6-58f233f24b37"
"Space-based Platforms","Earth Observation Satellites","Geodetic Earth Orbiting Satellite (GEOS)","GEOS-3","Geodetic Earth Orbiting Satellite-3","73ac5529-c0ec-46b5-a592-84b197bb0a35"
"Space-based Platforms","Earth Observation Satellites","Geodetic Earth Orbiting Satellite (GEOS)","","","608e831d-f722-4a97-b173-a308d7bc6dd2"
"Space-based Platforms","Earth Observation Satellites","Geodetic Satellite (GEOSAT)","GEOSAT","Geodetic Satellite","053da8e9-78d7-4d7f-997a-d06773323b7e"
"Space-based Platforms","Earth Observation Satellites","Geodetic Satellite (GEOSAT)","GFO-1","GEOSAT FOLLOW-ON-1","84d55533-31f1-4601-acad-5444b31b62b4"
"Space-based Platforms","Earth Observation Satellites","Geodetic Satellite (GEOSAT)","","","b78f1a1f-2e62-4f21-8031-670f008bdaa5"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-10","Geostationary Operational Environmental Satellite 10","6decd6f7-1572-4716-908e-53320218efa1"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-11","Geostationary Operational Environmental Satellite 11","2b10bfcf-f7ab-4ce1-9a4e-0b6f397a7ae0"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-12","Geostationary Operational Environmental Satellite 12","a93b5d7d-5bf4-49d3-b05f-b5f0b55b1bf6"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-13","Geostationary Operational Environmental Satellite 13","3c57a713-8cfe-4e65-8d6c-d30a59786313"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-14","Geostationary Operational Environmental Satellite 14","9dfc4f09-66e5-4e70-b4f9-72f52855c9c3"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-15","Geostationary Operational Environmental Satellite 15","e9415082-d8d2-4073-ba8a-fe22a2c521b6"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-16","Geostationary Operational Environmental Satellite 16","cbc78fde-7247-4906-b553-92c125fd848d"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-17","Geostationary Operational Environmental Satellite 17","bec0b215-7fe0-46e8-855a-d1807779f004"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-1","Geostationary Operational Environmental Satellite 1","9a5e161d-6979-4c0f-a6bd-7d3c268fef18"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-2","Geostationary Operational Environmental Satellite 2","59b9924a-a10f-4205-9051-ed611164fd97"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-3","Geostationary Operational Environmental Satellite 3","54aa88e0-f005-4525-bb26-1b8ed615b5f2"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-4","Geostationary Operational Environmental Satellite 4","eb1b830e-d451-46df-a8c6-4538ed9a5960"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-5","Geostationary Operational Environmental Satellite 5","cc07c141-768f-4e46-a222-5a423b6018a0"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-6","Geostationary Operational Environmental Satellite 6","93ca4f6a-2552-408b-adc2-2a3ca64a4a66"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-7","Geostationary Operational Environmental Satellite 7","2c8920b1-3ed2-417f-90d7-f94a387c77ac"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-8","Geostationary Operational Environmental Satellite 8","64fabc3c-0684-4325-9831-bf7cc461684d"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES-9","Geostationary Operational Environmental Satellite 9","2304694e-c900-4d63-b458-80163d5dcd86"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","GOES","NOAA Geostationary Operational Environmental Satellites","6b9ee582-1641-4f3b-8ce2-22ad3aae93fa"
"Space-based Platforms","Earth Observation Satellites","Geostationary Operational Environmental Satellite (GOES)","","","e31e924e-9e50-4856-b85d-862ee3d084a4"
"Space-based Platforms","Earth Observation Satellites","HJ1","HJ1A","","d65fc363-e9b4-410a-b5e3-8dbd87b510b4"
"Space-based Platforms","Earth Observation Satellites","HJ1","HJ1B","","3edef6e1-db0b-4806-b586-8869a7c986ba"
"Space-based Platforms","Earth Observation Satellites","HJ1","","","1bf53ccb-74d1-46ad-a024-b16d3ff01442"
"Space-based Platforms","Earth Observation Satellites","Himawari","Himawari-8","","dd2591d9-35a1-4037-9664-bbfcf4c80b71"
"Space-based Platforms","Earth Observation Satellites","Himawari","Himawari-9","","e43cfa6a-fb75-4eeb-8674-25917275ea7e"
"Space-based Platforms","Earth Observation Satellites","Himawari","","","d8b7fc7d-9cf3-4020-947d-f33d712b64ab"
"Space-based Platforms","Earth Observation Satellites","Ice, Cloud and Land Elevation Satellite (ICESat)","ICESat","Ice, Cloud and Land Elevation Satellite","71536bf5-2d19-4c63-a127-95264da38082"
"Space-based Platforms","Earth Observation Satellites","Ice, Cloud and Land Elevation Satellite (ICESat)","","","3eb57645-3c25-4718-a255-21c8d19d0517"
"Space-based Platforms","Earth Observation Satellites","Improved TIROS Operational Satellite (ITOS)","ITOS-1","","b080d2a3-c089-4ddf-bbfb-3e24495413b3"
"Space-based Platforms","Earth Observation Satellites","Improved TIROS Operational Satellite (ITOS)","","","80e95a88-b44e-444e-bd79-2e6dbb56b170"
"Space-based Platforms","Earth Observation Satellites","Indian Mini Satellite (IMS)","IMS-1","Indian Mini Satellite-1","a4d7359a-ec66-49d6-a394-3cf2794dd552"
"Space-based Platforms","Earth Observation Satellites","Indian Mini Satellite (IMS)","IMS-2","Indian Mini Satellite-2","aa137482-53a7-455d-b8d8-52d487380c2a"
"Space-based Platforms","Earth Observation Satellites","Indian Mini Satellite (IMS)","","","fecf6a37-ffa9-4e11-90cf-1abfeb95cb95"
"Space-based Platforms","Earth Observation Satellites","Indian National Satellite (INSAT)","INSAT-1A","Indian National Satellite-1A","5142bd37-853c-4d34-a2bb-13de9d97b773"
"Space-based Platforms","Earth Observation Satellites","Indian National Satellite (INSAT)","INSAT-1B","Indian National Satellite-1B","9dfe63d1-5b6a-4ac4-ae19-1572ab43445e"
"Space-based Platforms","Earth Observation Satellites","Indian National Satellite (INSAT)","INSAT-3D","","5999e653-21ea-49ef-977a-13b5fe40fa36"
"Space-based Platforms","Earth Observation Satellites","Indian National Satellite (INSAT)","INSAT","Indian National Satellite","dadc6f66-e044-420a-b1d0-4cc11b2f169d"
"Space-based Platforms","Earth Observation Satellites","Indian National Satellite (INSAT)","","","949ab40f-3954-4c81-a063-275d0e13a14e"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-1A","Indian Remote Sensing Satellite-1A","8f7e0fb3-1917-4bb5-ae90-93af14ef0c51"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-1B","Indian Remote Sensing Satellite-1B","b1734eeb-aa26-471d-9300-694c80aa8b42"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-1C","Indian Remote Sensing Satellite-1C","0b60f93d-dad7-4bb8-a41b-22d5f5d58835"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-1D","Indian Remote Sensing Satellite-1D","27b32f62-3460-4541-a1d5-507538b2b34c"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-O2","Oceansat-2","df967339-0096-4445-8732-0071f1de9e27"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-P2","Indian Remote Sensing Satellite-P2","0f7493be-f2c7-427b-befb-d4e33f08016c"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-P3","Indian ISRO IRS-P3 Spacecraft","dbbc7680-269b-42de-a33c-25e541aa6a74"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-P4","Indian Remote Sensing Satellite-P4 (OCEANSAT-1)","9e3bc460-c94c-462f-a207-aa580f2b5b07"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-P5","Indian Remote Sensing Satellite-P5 (CARTOSAT-1)","1d98408e-7465-4d31-86fa-3835a137b78d"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-P6","Indian Remote Sensing Satellite-P6","cdbfcd3f-bde3-44b1-8318-e2ee7873fc57"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-R2A","Indian Remote Sensing Satellite-R2A","56535da7-3b47-41e2-a3a9-b88a6abbc5ef"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","IRS-RS2","Indian Remote Sensing Satellite-RS2","fd710ee8-797c-490a-9f90-064a38141f99"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","K1","Kalpana-1","87daf1d5-4f7c-40e9-8d31-4c816c320029"
"Space-based Platforms","Earth Observation Satellites","Indian Remote Sensing Satellite (IRS)","","","3e8bc0c6-f599-4e23-9535-449af00edd61"
"Space-based Platforms","Earth Observation Satellites","International Satellite for Ionospheric Studies (ISIS)","ISIS-1","International Satellite for Ionospheric Studies-1","0e8963d6-040a-4df2-a7f6-c7dbc1ef1bda"
"Space-based Platforms","Earth Observation Satellites","International Satellite for Ionospheric Studies (ISIS)","ISIS-2","International Satellite for Ionospheric Studies-2","a3725789-7cae-48f1-9c2c-a27bc30c79a1"
"Space-based Platforms","Earth Observation Satellites","International Satellite for Ionospheric Studies (ISIS)","","","dfc148f7-69ed-401a-b2d2-f2c4097ef9b6"
"Space-based Platforms","Earth Observation Satellites","Japan Geostationary Meteorological Satellite (GMS)","GMS-1","Geostationary Meteorological Satellite-1","2a4d7fd4-36e7-42a4-9239-5e89ec0b142d"
"Space-based Platforms","Earth Observation Satellites","Japan Geostationary Meteorological Satellite (GMS)","GMS-2","Geostationary Meteorological Satellite-2","63c5a148-a766-45c0-b604-6c0c706ff368"
"Space-based Platforms","Earth Observation Satellites","Japan Geostationary Meteorological Satellite (GMS)","GMS-3","Geostationary Meteorological Satellite-3","a8952068-667a-4d77-8e4c-e40bcd310cdd"
"Space-based Platforms","Earth Observation Satellites","Japan Geostationary Meteorological Satellite (GMS)","GMS-4","Geostationary Meteorological Satellite-4","16dbe86f-4f86-4f78-a393-9c047759c0ee"
"Space-based Platforms","Earth Observation Satellites","Japan Geostationary Meteorological Satellite (GMS)","GMS-5","Geostationary Meteorological Satellite-5","0c08e0d6-ed87-4fc8-8dc9-77887a8bb256"
"Space-based Platforms","Earth Observation Satellites","Japan Geostationary Meteorological Satellite (GMS)","GMS","Japan Geostationary Meteorological Satellite","acf612e2-fcf8-40a5-a08a-dd59d689ef0b"
"Space-based Platforms","Earth Observation Satellites","Japan Geostationary Meteorological Satellite (GMS)","","","deeecd30-32e0-4b89-ae24-31e3e6641b4c"
"Space-based Platforms","Earth Observation Satellites","Japan Marine Observation Satellite (MOS)","MOS-1B","Japanese Marine Observation Satellite-1B","3f023faf-79fe-4efd-99cf-efdea9fd2e67"
"Space-based Platforms","Earth Observation Satellites","Japan Marine Observation Satellite (MOS)","MOS-1","Japanese Marine Observation Satellite 1","cdf3698d-ace4-432b-80aa-8757f8d53d58"
"Space-based Platforms","Earth Observation Satellites","Japan Marine Observation Satellite (MOS)","","","f835f27c-becb-4ad7-a2d5-c0385f3418f3"
"Space-based Platforms","Earth Observation Satellites","Japanese Earth Resources Satellite (JERS)","JERS-1","Japanese Earth Resources Satellite-1","f3230e87-898e-45d1-aa7f-b5b42eb3a3fc"
"Space-based Platforms","Earth Observation Satellites","Japanese Earth Resources Satellite (JERS)","","","f79e1dd5-797c-4aa6-ab58-433c1abaec26"
"Space-based Platforms","Earth Observation Satellites","Joint Altimetry Satellite Oceanography Network (JASON)","JASON-1","","4ea59dad-ed94-453e-a991-62c790a1d101"
"Space-based Platforms","Earth Observation Satellites","Joint Altimetry Satellite Oceanography Network (JASON)","JASON-3","Joint Altimetry Satellite Oceanography Network - 3","bffa816a-c210-46ed-81cb-ffdf3310c1a5"
"Space-based Platforms","Earth Observation Satellites","Joint Altimetry Satellite Oceanography Network (JASON)","","","d3747d32-f82d-4a98-aa49-aad5653897fe"
"Space-based Platforms","Earth Observation Satellites","Joint Polar Satellite System (JPSS)","JPSS-1","Joint Polar Satellite System - 1","7b7147b8-cd9f-4978-ae0a-0af43ed79aa7"
"Space-based Platforms","Earth Observation Satellites","Joint Polar Satellite System (JPSS)","JPSS-2","Joint Polar Satellite System - 2","043dc242-1014-4e9a-91ee-c472b791b026"
"Space-based Platforms","Earth Observation Satellites","Joint Polar Satellite System (JPSS)","JPSS-3","Joint Polar Satellite System - 3","2ab4ba32-0bb3-4e4e-bac6-1ff4a3baf0df"
"Space-based Platforms","Earth Observation Satellites","Joint Polar Satellite System (JPSS)","JPSS-4","Joint Polar Satellite System - 4","10adce36-ce10-4ae6-94f9-211911c7dd15"
"Space-based Platforms","Earth Observation Satellites","Joint Polar Satellite System (JPSS)","NOAA-20","Joint Polar Satellite System - 1","586db0b3-5f94-466e-b7c1-a2dbedc0c1fc"
"Space-based Platforms","Earth Observation Satellites","Joint Polar Satellite System (JPSS)","Suomi-NPP","Suomi National Polar-orbiting Partnership","85a52725-e6a1-430a-8506-c08c59ef31c7"
"Space-based Platforms","Earth Observation Satellites","Joint Polar Satellite System (JPSS)","","","5c2364ca-c01a-4f69-8808-282c3854b2f6"
"Space-based Platforms","Earth Observation Satellites","Korea Multi-Purpose Satellite (KOMPSAT)","KOMPSAT-1","Korea Multi-Purpose Satellite - 1","caf7cd97-6a64-4e31-9b7e-d96854eb9b6a"
"Space-based Platforms","Earth Observation Satellites","Korea Multi-Purpose Satellite (KOMPSAT)","KOMPSAT-2","Korea Multi-Purpose Satellite - 2","88d9cd91-a26e-467a-9554-c5d927540421"
"Space-based Platforms","Earth Observation Satellites","Korea Multi-Purpose Satellite (KOMPSAT)","","","9abdb7c0-7b8e-426b-8bc7-57ea4a30d82c"
"Space-based Platforms","Earth Observation Satellites","Landsat","LANDSAT-1","LANDSAT-1","d41eb9c0-7683-428a-ac86-5643bbfa3985"
"Space-based Platforms","Earth Observation Satellites","Landsat","LANDSAT-2","LANDSAT-2","dbaddf64-af69-4e82-a4a8-41f5c76ee496"
"Space-based Platforms","Earth Observation Satellites","Landsat","LANDSAT-3","LANDSAT-3","8d323d5a-0332-4e58-80c5-8dd9f486f482"
"Space-based Platforms","Earth Observation Satellites","Landsat","LANDSAT-4","LANDSAT-4","0db82778-12de-4cac-9a86-8f2b97feb7f1"
"Space-based Platforms","Earth Observation Satellites","Landsat","LANDSAT-5","LANDSAT-5","fe920fff-7852-42cf-b1dc-b2223b24cf2e"
"Space-based Platforms","Earth Observation Satellites","Landsat","LANDSAT-6","LANDSAT-6","b912164c-36a5-4d93-9638-1afb3e4c4354"
"Space-based Platforms","Earth Observation Satellites","Landsat","LANDSAT-7","LANDSAT-7","c7a09e9f-3c99-4b31-a521-313c379ba2b4"
"Space-based Platforms","Earth Observation Satellites","Landsat","LANDSAT-8","LANDSAT-8","13e3a08a-0d28-4e3f-a306-a20d9fb4fff8"
"Space-based Platforms","Earth Observation Satellites","Landsat","LANDSAT-9","LANDSAT-9","5d3ce672-39fb-4dd5-be5e-55f81fb7f40f"
"Space-based Platforms","Earth Observation Satellites","Landsat","LANDSAT","LANDSAT","77d92504-8160-4f72-90b9-a7c9640f4361"
"Space-based Platforms","Earth Observation Satellites","Landsat","","","3cc4a1e8-3b94-4567-90b3-32137aec2d9e"
"Space-based Platforms","Earth Observation Satellites","Laser Geodetic Satellite (LAGEOS)","LAGEOS-1","Laser Geodetic Satellite-1","8124c4a5-fb77-455c-9ecd-3cf325fc12a9"
"Space-based Platforms","Earth Observation Satellites","Laser Geodetic Satellite (LAGEOS)","LAGEOS-2","Laser Geodetic Satellite-2","e1dfd1ca-9bd1-4628-b4ad-c82dfb3c1974"
"Space-based Platforms","Earth Observation Satellites","Laser Geodetic Satellite (LAGEOS)","","","4fc659a0-c543-4538-87c6-0ed2a7ab8b55"
"Space-based Platforms","Earth Observation Satellites","Megha-Tropiques","MEGHA-TROPIQUES","Megha-Tropiques","b4306533-7593-4e76-b0e1-154a74e27d69"
"Space-based Platforms","Earth Observation Satellites","Megha-Tropiques","","","7bca3532-02ec-4ab7-a01b-14185479c209"
"Space-based Platforms","Earth Observation Satellites","Meteorological Operational Satellite (METOP)","METOP-A","Meteorological Operational Satellite - A","8143808e-1005-4fed-a469-c2bd5f1521bf"
"Space-based Platforms","Earth Observation Satellites","Meteorological Operational Satellite (METOP)","METOP-B","Meteorological Operational Satellite - B","c9f84df0-e807-46e3-8fce-c33e9201fbc2"
"Space-based Platforms","Earth Observation Satellites","Meteorological Operational Satellite (METOP)","METOP-C","Meteorological Operational Satellite - C","6120cea0-c943-4c7c-bddd-8d8648d58022"
"Space-based Platforms","Earth Observation Satellites","Meteorological Operational Satellite (METOP)","","","8c192c86-d07c-4e7b-af8f-92aa4b40fca7"
"Space-based Platforms","Earth Observation Satellites","Meteor","Meteor 2-21","","a94d5d7d-ef21-4849-aa30-854aedd21c69"
"Space-based Platforms","Earth Observation Satellites","Meteor","Meteor-2","","8895542e-f840-4eeb-a615-b7871e6a580e"
"Space-based Platforms","Earth Observation Satellites","Meteor","Meteor-3M","","5a326a88-e23a-42c3-967a-7150bbf2acda"
"Space-based Platforms","Earth Observation Satellites","Meteor","Meteor-3","","b4ebacc9-59d5-45ae-95af-81d986d5ad3e"
"Space-based Platforms","Earth Observation Satellites","Meteor","Meteor-M N1","Meteorological Satellite Meteor-M N1","34e29a6e-63ef-4701-9f03-4dd233f146f6"
"Space-based Platforms","Earth Observation Satellites","Meteor","Meteor-M N2","Meteorological Satellite Meteor-M N2","20e6f8e4-f60d-4ffb-ab85-0423c5078a52"
"Space-based Platforms","Earth Observation Satellites","Meteor","","","d1a7ef15-31ab-4647-918a-4a1d62028ae4"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT-10","","01ee202c-22c5-442d-b4fd-65f424057ea3"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT-11","","bc69ef64-c468-4e8a-9a41-3b421e79cc90"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT-1","METEOSAT-1","a7852052-09a6-4c48-b720-9dfb086df3db"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT-2","METEOSAT-2","59df537a-0912-4943-834e-9feb08d09d59"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT-3","METEOSAT-P2","4ce99530-44bb-435b-ac46-3e3f0ddde484"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT-4","Meteosat Operational Programme 1 (MOP-1)","ceb704ea-58eb-441a-8f86-9d2d7017240c"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT-5","Meteosat Operational Programme 2 (MOP-2)","a2069a17-e6be-49f4-a796-72aede755493"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT-6","Meteosat Operational Programme 3 (MOP-3)","6f9f4776-ca2a-478a-b077-0b15fe8d2c3a"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT-7","METEOSAT-7","75d48be5-2e6d-442f-9e97-0146706f7261"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT-8","","1ef73a04-e012-4389-9646-cdeb7c04dc92"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT-9","","07dfead6-2cbc-4703-8533-c4d07e2ec67c"
"Space-based Platforms","Earth Observation Satellites","Meteosat","METEOSAT","Meteosat Operational Programme","dbfa9c1a-1853-4c48-8adf-f51ca6715c43"
"Space-based Platforms","Earth Observation Satellites","Meteosat","MSG","Meteosat Second Generation","5aac06ef-6ade-49b6-a98c-45516a9a646a"
"Space-based Platforms","Earth Observation Satellites","Meteosat","","","28eac19a-5500-4a21-af30-ab7a364ff8d0"
"Space-based Platforms","Earth Observation Satellites","NASA Decadal Survey","ACE (DECADAL SURVEY)","Aerosol - Cloud - Ecosystems","44de39ab-8595-42d9-8d9e-ca94c4da4b0c"
"Space-based Platforms","Earth Observation Satellites","NASA Decadal Survey","ASCENDS","Active Sensing of CO2 Emissions over Nights, Days, and Seasons","5129ca8d-e299-4966-b0d9-a55c4b302601"
"Space-based Platforms","Earth Observation Satellites","NASA Decadal Survey","CLARREO","Climate Absolute Radiance and Refractivity Observatory","86f284dc-ebd2-4c9c-93dc-1e0e26a0a033"
"Space-based Platforms","Earth Observation Satellites","NASA Decadal Survey","GEO-CAPE","Geostationary Coastal and Air Pollution Events","cbd436e1-03bf-4e59-8b31-fac71597bc01"
"Space-based Platforms","Earth Observation Satellites","NASA Decadal Survey","GRACE-FO","Gravity Recovery and Climate Experiment Follow-On","f75e34e2-ebe7-4a6c-8bf6-da596a36b632"
"Space-based Platforms","Earth Observation Satellites","NASA Decadal Survey","HYSPIRI","Hyperspectral Infrared Imager","da4db91a-044b-4b01-ad1a-e1684e492adf"
"Space-based Platforms","Earth Observation Satellites","NASA Decadal Survey","ICESat-2","Ice, Cloud, and land Elevation Satellite-2","0a7dad22-dace-4cdc-9a5b-7dfde4aa2822"
"Space-based Platforms","Earth Observation Satellites","NASA Decadal Survey","SMAP","Soil Moisture Active and Passive Observatory","7ee03239-24ff-433e-ab7e-8be8b9b2636b"
"Space-based Platforms","Earth Observation Satellites","NASA Decadal Survey","SWOT","Surface Water Ocean Topography","63b6f3d6-3e9a-40c9-ae91-13f580c7b6c3"
"Space-based Platforms","Earth Observation Satellites","NASA Decadal Survey","","","9bdc4d60-38da-4d6c-ba2f-2a588aa9921b"
"Space-based Platforms","Earth Observation Satellites","NASA Earth System Science Pathfinder","CALIPSO","Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observations","01b319ce-cbe2-4894-bb33-04c43ceef23b"
"Space-based Platforms","Earth Observation Satellites","NASA Earth System Science Pathfinder","CloudSat","","f3a724fa-5d0c-4ca1-872b-41ef08ab7b5d"
"Space-based Platforms","Earth Observation Satellites","NASA Earth System Science Pathfinder","GRACE","Gravity Recovery and Climate Experiment","2e7aa2e6-9d25-4c6e-aef3-6e86d3773bac"
"Space-based Platforms","Earth Observation Satellites","NASA Earth System Science Pathfinder","OCO-2","Orbiting Carbon Observatory-2","6d5f222a-7750-4fd3-aa14-3c0d0059bc85"
"Space-based Platforms","Earth Observation Satellites","NASA Earth System Science Pathfinder","OCO-3","","da687fb4-016d-4b4d-92c2-380640ca5640"
"Space-based Platforms","Earth Observation Satellites","NASA Earth System Science Pathfinder","","","de1e0fd4-d865-4726-9bde-96804cf455b7"
"Space-based Platforms","Earth Observation Satellites","NASA Small Explorer (SMEX)","AIM","Aeronomy of Ice in the Mesosphere","dda33ba1-2108-4297-a221-d94726c60792"
"Space-based Platforms","Earth Observation Satellites","NASA Small Explorer (SMEX)","","","ec3e5f45-f6a2-4d1f-aa6f-51a638c7852f"
"Space-based Platforms","Earth Observation Satellites","Nimbus","Nimbus-1","","fc1b2147-7086-4164-a2e5-596f83e1431c"
"Space-based Platforms","Earth Observation Satellites","Nimbus","Nimbus-2","","486c2802-dca4-49a3-8bb8-4889e6961014"
"Space-based Platforms","Earth Observation Satellites","Nimbus","Nimbus-3","","acc28309-0d1a-4533-9b18-c5ac2b0deea8"
"Space-based Platforms","Earth Observation Satellites","Nimbus","Nimbus-4","","6b956645-9c85-4b3d-8771-159a62005911"
"Space-based Platforms","Earth Observation Satellites","Nimbus","Nimbus-5","","955e7643-bd77-44aa-ba05-f7b841ce582b"
"Space-based Platforms","Earth Observation Satellites","Nimbus","Nimbus-6","","6bbdcd8e-cbe4-48db-96e6-1d5f1dd1e857"
"Space-based Platforms","Earth Observation Satellites","Nimbus","Nimbus-7","Nimbus-7","0af3eeb1-3339-46ad-964f-2d18dce319fe"
"Space-based Platforms","Earth Observation Satellites","Nimbus","Nimbus","","df91d23f-2c02-4bc1-92c1-a105fb0deb05"
"Space-based Platforms","Earth Observation Satellites","Nimbus","","","f91ad0ef-29bd-4594-a843-60beaaf858ca"
"Space-based Platforms","Earth Observation Satellites","OrbView","OrbView-1","OSC Microlab-1 Satellite","7a186060-a313-4047-ba21-27a0ffdff8e4"
"Space-based Platforms","Earth Observation Satellites","OrbView","OrbView-2","Orbital Sciences Corporation OrbView-2 Satellite","aef85316-b8f8-422a-add0-8130b113fa7d"
"Space-based Platforms","Earth Observation Satellites","OrbView","","","f221869f-1552-4f72-a308-7e79d0ab98e1"
"Space-based Platforms","Earth Observation Satellites","Orbiting Carbon Observatory","OGO-1","Orbiting Geophysical Observatory-1","b81f052e-9e45-4097-8189-f4c2f0572dd4"
